Month_Year,Crashes_per_100k,Season,Smartphone_Survey_Date,Smartphone_usage
Apr-12,133.213685,Spring,4/3/12,46
Apr-15,150.0777919,Spring,4/12/15,67
Apr-16,172.4019483,Spring,4/4/16,72
Aug-12,145.4031475,Summer,8/5/12,44
Dec-12,169.1608115,Winter,12/9/12,45
Dec-14,172.10695,Winter,12/21/14,59
Feb-12,140.1323042,Winter,2/19/12,45
Feb-19,161.8865398,Winter,2/7/19,81
Jan-12,150.2480288,Winter,1/15/12,39
Jan-13,145.1930257,Winter,1/6/13,51
Jan-14,182.8536426,Winter,1/12/14,58
Jan-14,182.8536426,Winter,1/26/14,55
Jan-14,182.8536426,Winter,1/5/14,55
Jan-18,178.6409917,Winter,1/10/18,77
Jul-13,141.0058453,Summer,7/14/13,53
Jul-13,141.0058453,Summer,7/28/13,53
Jul-15,155.3874051,Summer,7/12/15,68
May-11,137.2126656,Spring,5/22/11,35
May-13,148.8151234,Spring,5/19/13,56
May-16,178.8927664,Spring,5/3/16,70
Nov-12,162.4403587,Fall,11/10/12,46
Nov-15,177.4511396,Fall,11/15/15,69
Nov-16,158.1215294,Fall,11/6/16,77
Oct-13,166.8379701,Fall,10/6/13,58
Sep-12,148.3195704,Fall,9/6/12,45
Sep-12,148.3195704,Fall,9/23/12,43
Sep-13,144.7681063,Fall,9/16/13,54
Sep-13,144.7681063,Fall,9/30/13,55